time,instrument,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty
1547716,SSE-SIMP,9963,50,9962,150,9961,200,9966,50,9967,100,9968,150
1547716,SSE-ZABA,11684,50,11682,100,11680,150,11688,10,11690,100,11692,150
1547816,SSE-CARD,9983,1,9982,150,9981,200,9986,50,9987,100,9988,150
1547816,SSE-FSR,9908,50,9906,100,9904,150,9914,33,9916,150,9918,200
1547816,SSE-HT,11138,50,11136,100,11134,150,11144,91,11146,150,11148,200
1547816,SSE-KRAS,9601,5,9600,50,9598,100,9604,45,9606,100,9608,150
1547816,SSE-SIMP,9956,50,9955,100,9954,150,9960,90,9961,200,9962,250
1547816,SSE-ZABA,11655,50,11653,100,11651,150,11659,50,11661,100,11663,150
1547916,SSE-CARD,9982,50,9981,170,9980,200,9987,73,9988,200,9989,250
1547916,SSE-FSR,9895,50,9893,100,9891,150,9901,3,9903,150,9905,200
1547916,SSE-HT,11146,50,11144,100,11142,150,11150,50,11152,100,11154,150
1547916,SSE-KRAS,9634,50,9632,100,9630,150,9638,50,9640,100,9642,150
1547916,SSE-SIMP,9962,29,9961,150,9960,210,9965,50,9966,110,9967,150
1547916,SSE-ZABA,11670,50,11668,100,11666,150,11674,50,11676,100,11678,150
1548016,SSE-CARD,9996,25,9995,150,9994,200,9999,50,10000,100,10001,150
1548016,SSE-FSR,9901,6,9898,50,9896,100,9904,100,9906,150,9908,200
1548016,SSE-HT,11157,50,11155,100,11153,150,11161,50,11163,100,11165,150
1548016,SSE-KRAS,9611,50,9609,100,9607,150,9615,45,9617,100,9619,150
1548016,SSE-SIMP,9960,10,9959,50,9958,100,9965,137,9974,10,9984,10
1548016,SSE-ZABA,11669,50,11667,100,11665,150,11673,50,11675,100,11677,150
1548116,SSE-CARD,9999,10,9995,39,9994,150,10000,8,10001,200,10002,250
1548116,SSE-FSR,9916,30,9914,100,9912,150,9920,50,9922,100,9924,150
1548116,SSE-HT,11165,100,11163,150,11161,200,11171,50,11173,100,11175,150
1548116,SSE-KRAS,9595,50,9593,100,9591,150,9601,20,9603,150,9605,200
1548116,SSE-SIMP,9950,50,9949,100,9948,150,9953,55,9954,150,9955,200
1548116,SSE-ZABA,11669,50,11667,100,11665,150,11673,50,11675,100,11677,150
1548216,SSE-CARD,9989,50,9988,100,9987,150,9993,146,9994,200,9995,250
1548216,SSE-FSR,9908,50,9906,100,9904,150,9916,116,9918,200,9920,250
1548216,SSE-HT,11140,50,11138,100,11136,150,11148,27,11150,200,11152,250
1548216,SSE-KRAS,9610,50,9608,100,9606,150,9614,50,9616,100,9618,150
1548216,SSE-SIMP,9947,50,9946,100,9945,150,9952,101,9953,250,9964,10
1548216,SSE-ZABA,11654,50,11652,100,11650,150,11658,50,11660,100,11662,150
1548316,SSE-CARD,9994,35,9993,150,9992,200,9998,43,9999,150,10000,200
1548316,SSE-FSR,9919,50,9917,100,9915,150,9923,50,9925,100,9927,155
1548316,SSE-HT,11136,50,11134,100,11132,150,11142,78,11144,150,11146,200
1548316,SSE-KRAS,9617,50,9615,100,9613,150,9621,50,9623,100,9625,150
1548316,SSE-SIMP,9942,50,9941,100,9940,150,9945,40,9946,150,9947,200
1548316,SSE-ZABA,11614,50,11612,100,11610,150,11618,40,11620,100,11622,150
1548416,SSE-CARD,9992,150,9991,200,9990,260,9997,54,9998,150,9999,200
1548416,SSE-FSR,9915,50,9913,100,9911,150,9923,154,9925,200,9927,250
1548416,SSE-HT,11175,99,11173,150,11171,200,11181,50,11183,100,11185,150
1548416,SSE-KRAS,9593,50,9591,100,9589,150,9597,50,9599,100,9601,150
1548416,SSE-SIMP,9941,50,9940,100,9939,375,9945,27,9946,200,9947,250
1548416,SSE-ZABA,11654,50,11652,100,11650,150,11658,50,11660,100,11662,150
1548516,SSE-CARD,9995,50,9994,150,9993,200,10000,50,10001,200,10002,250
1548516,SSE-FSR,9919,50,9917,100,9915,150,9925,100,9927,150,9929,200
1548516,SSE-HT,11161,50,11159,100,11157,150,11167,88,11169,150,11171,200
1548516,SSE-KRAS,9630,10,9628,100,9626,150,9634,50,9636,100,9638,150
1548516,SSE-SIMP,9957,30,9956,150,9955,200,9960,50,9961,100,9962,160
1548516,SSE-ZABA,11656,50,11654,100,11652,150,11660,50,11662,100,11664,150
1548616,SSE-CARD,10018,65,10017,200,10016,250,10022,50,10023,100,10024,150
1548616,SSE-FSR,9932,50,9930,100,9928,150,9936,50,9937,20,9938,100
1548616,SSE-HT,11150,50,11148,100,11146,150,11156,25,11158,150,11160,200
1548616,SSE-KRAS,9603,50,9601,100,9599,150,9607,50,9609,100,9611,150
1548616,SSE-SIMP,9957,130,9956,200,9955,250,9962,110,9963,150,9964,200
1548616,SSE-ZABA,11677,50,11675,100,11673,150,11681,50,11683,100,11685,150
1548716,SSE-CARD,10009,25,10008,100,10007,150,10013,80,10014,200,10015,250
1548716,SSE-FSR,9956,50,9954,100,9952,150,9960,50,9962,100,9964,150
1548716,SSE-HT,11145,50,11143,100,11141,150,11151,90,11153,150,11155,200
1548716,SSE-KRAS,9613,50,9611,100,9609,150,9617,50,9619,100,9621,150
1548716,SSE-SIMP,9935,50,9934,100,9933,150,9941,206,9972,10,9982,10
1548716,SSE-ZABA,11666,50,11664,100,11662,150,11670,10,11672,100,11674,150
1548816,SSE-CARD,9995,50,9994,100,9993,150,9999,51,10000,200,10001,250
1548816,SSE-FSR,9937,50,9935,100,9933,150,9943,58,9945,150,9947,200
1548816,SSE-HT,11173,100,11171,150,11169,200,11179,50,11181,100,11183,150
1548816,SSE-KRAS,9622,28,9620,100,9618,150,9626,50,9628,100,9630,150
1548816,SSE-SIMP,9956,30,9955,150,9954,200,9961,84,9962,200,9963,250
1548816,SSE-ZABA,11644,50,11642,100,11640,150,11650,100,11652,150,11654,200
1548916,SSE-CARD,9985,50,9984,100,9983,150,9989,49,9990,200,9991,250
1548916,SSE-FSR,9952,30,9950,100,9948,150,9956,50,9958,100,9960,150
1548916,SSE-HT,11171,100,11169,150,11167,200,11177,50,11179,100,11181,150
1548916,SSE-KRAS,9612,50,9610,100,9608,150,9616,50,9618,100,9620,150
1548916,SSE-SIMP,9959,60,9958,150,9957,200,9963,100,9964,150,9965,200
1548916,SSE-ZABA,11665,100,11663,150,11661,200,11671,50,11673,100,11675,150
1549016,SSE-CARD,9979,50,9978,100,9977,150,9983,125,9984,200,9985,250
1549016,SSE-FSR,9951,50,9949,100,9947,150,9957,44,9959,150,9961,200
1549016,SSE-HT,11146,50,11144,100,11142,150,11150,13,11152,100,11154,150
1549016,SSE-KRAS,9595,50,9593,100,9591,150,9599,50,9601,100,9603,150
1549016,SSE-SIMP,9962,50,9961,150,9960,200,9965,50,9966,100,9967,150
1549016,SSE-ZABA,11688,50,11686,100,11684,150,11692,50,11694,100,11696,150
1549116,SSE-CARD,9980,15,9979,100,9978,150,9983,25,9984,150,9985,200
1549116,SSE-FSR,9940,50,9938,100,9937,15,9946,60,9948,150,9950,200
1549116,SSE-HT,11145,50,11143,100,11141,150,11149,13,11151,100,11153,150
1549116,SSE-KRAS,9608,50,9606,100,9604,150,9612,50,9614,100,9616,150
1549116,SSE-SIMP,9980,20,9979,150,9978,200,9983,50,9984,100,9985,150
1549116,SSE-ZABA,11683,50,11681,100,11679,150,11689,90,11691,150,11693,200
1549216,SSE-CARD,9983,125,9981,50,9980,100,9984,16,9985,150,9986,200
1549216,SSE-FSR,9968,50,9966,100,9964,150,9972,50,9974,100,9976,150
1549216,SSE-HT,11150,100,11148,150,11146,200,11156,50,11158,100,11160,150
1549216,SSE-KRAS,9622,3,9620,100,9618,150,9626,50,9628,100,9630,150
1549216,SSE-SIMP,9948,50,9947,100,9946,150,9951,90,9952,150,9953,200
1549216,SSE-ZABA,11656,50,11654,100,11652,150,11664,89,11666,200,11668,250
1549316,SSE-CARD,9965,50,9964,100,9963,150,9969,8,9970,200,9971,250
1549316,SSE-FSR,9973,130,9971,200,9969,250,9981,50,9983,100,9985,150
1549316,SSE-HT,11148,50,11146,100,11144,150,11156,68,11158,200,11160,250
1549316,SSE-KRAS,9593,50,9591,200,9589,250,9601,40,9603,100,9605,150
1549316,SSE-SIMP,9941,109,9940,100,9939,150,9946,100,9947,250,9950,10
1549316,SSE-ZABA,11689,100,11687,150,11685,200,11695,50,11697,100,11699,150
1549416,SSE-CARD,9966,64,9965,200,9964,250,9971,84,9972,150,9973,200
1549416,SSE-FSR,9965,50,9963,100,9961,150,9969,16,9971,100,9973,150
1549416,SSE-HT,11130,50,11128,100,11126,150,11136,25,11138,150,11140,200
1549416,SSE-KRAS,9608,50,9606,100,9604,150,9612,50,9614,100,9616,150
1549416,SSE-SIMP,9946,50,9945,100,9944,150,9948,50,9949,100,9950,150
1549416,SSE-ZABA,11670,50,11668,100,11666,150,11676,55,11678,150,11680,200
1549516,SSE-CARD,9965,17,9964,150,9963,200,9969,85,9970,150,9971,200
1549516,SSE-FSR,9962,50,9960,100,9958,150,9966,6,9968,100,9970,170
1549516,SSE-HT,11126,50,11124,100,11122,150,11130,25,11132,100,11134,150
1549516,SSE-KRAS,9617,50,9615,100,9613,150,9621,50,9623,100,9625,150
1549516,SSE-SIMP,9959,40,9958,100,9957,150,9961,50,9962,100,9963,150
1549516,SSE-ZABA,11673,50,11671,100,11669,150,11677,25,11679,100,11681,150
1549616,SSE-CARD,9947,50,9946,100,9945,150,9950,100,9951,150,9952,200
1549616,SSE-FSR,9951,50,9949,150,9947,200,9959,94,9961,150,9963,200
1549616,SSE-HT,11142,50,11140,100,11138,150,11146,50,11148,100,11150,150
1549616,SSE-KRAS,9626,28,9624,100,9622,150,9630,50,9632,100,9634,150
1549616,SSE-SIMP,9965,50,9964,150,9963,200,9968,60,9969,100,9970,150
1549616,SSE-ZABA,11677,95,11676,50,11674,100,11680,50,11682,100,11684,150
1549716,SSE-CARD,9958,50,9957,100,9956,150,9960,50,9961,100,9962,150
1549716,SSE-FSR,9974,30,9972,100,9970,150,9978,50,9980,100,9982,150
1549716,SSE-HT,11134,50,11132,100,11130,198,11138,10,11140,100,11142,150
1549716,SSE-KRAS,9635,137,9633,200,9631,250,9643,50,9645,100,9647,150
1549716,SSE-SIMP,9940,50,9939,100,9938,150,9944,67,9945,200,9946,250
1549716,SSE-ZABA,11704,45,11702,100,11700,150,11708,50,11710,100,11712,150
1549816,SSE-CARD,9819,50,9818,100,9817,150,9823,60,9824,200,9825,250
1549816,SSE-FSR,9978,50,9976,100,9974,150,9982,50,9984,100,9986,150
1549816,SSE-HT,11130,48,11129,50,11127,100,11133,5,11135,100,11137,150
1549816,SSE-KRAS,9635,85,9633,150,9631,200,9641,50,9643,100,9645,150
1549816,SSE-SIMP,9955,40,9954,100,9953,150,9957,50,9958,100,9959,150
1549816,SSE-ZABA,11715,45,11713,100,11711,150,11719,120,11721,100,11723,150
1549916,SSE-CARD,9836,50,9835,100,9834,150,9838,50,9839,100,9840,150
1549916,SSE-FSR,9986,50,9984,150,9982,200,9992,50,9994,100,9996,150
1549916,SSE-HT,11148,50,11146,100,11144,150,11152,50,11154,100,11156,150
1549916,SSE-KRAS,9645,31,9643,100,9641,150,9649,50,9651,100,9653,150
1549916,SSE-SIMP,9974,75,9973,150,9972,200,9977,50,9978,100,9979,160
1549916,SSE-ZABA,11704,50,11702,100,11700,150,11710,90,11712,150,11714,200
1550016,SSE-CARD,9823,235,9822,100,9821,150,9827,65,9828,200,9829,250
1550016,SSE-FSR,9963,50,9961,100,9959,150,9967,50,9969,100,9971,150
1550016,SSE-HT,11130,80,11128,100,11126,150,11134,35,11136,100,11138,150
1550016,SSE-KRAS,9649,40,9647,100,9645,150,9653,50,9655,100,9657,150
1550016,SSE-SIMP,9969,50,9968,100,9967,150,9972,40,9973,150,9974,450
1550016,SSE-ZABA,11709,100,11707,150,11705,200,11715,50,11717,100,11719,210
1550116,SSE-CARD,9814,50,9813,100,9812,150,9820,210,9828,20,9836,50
1550116,SSE-FSR,9962,50,9960,100,9958,150,9968,64,9970,150,9972,200
1550116,SSE-HT,11145,50,11143,100,11141,150,11149,50,11151,100,11153,150
1550116,SSE-KRAS,9652,25,9650,100,9648,150,9656,50,9658,100,9659,5
1550116,SSE-SIMP,9981,148,9980,250,9944,67,9986,50,9987,100,9988,150
1550116,SSE-ZABA,11709,100,11707,150,11705,200,11717,100,11719,210,11721,200
1550216,SSE-CARD,9829,30,9828,150,9827,200,9832,50,9833,100,9834,150
1550216,SSE-FSR,9965,40,9963,100,9961,150,9969,50,9971,100,9973,150
1550216,SSE-HT,11146,100,11144,150,11142,200,11152,50,11154,100,11156,150
1550216,SSE-KRAS,9639,50,9637,100,9635,150,9643,50,9645,100,9647,150
1550216,SSE-SIMP,9950,50,9949,100,9948,150,9954,97,9955,200,9956,250
1550216,SSE-ZABA,11695,50,11693,100,11691,150,11701,50,11703,150,11705,200
1550316,SSE-CARD,9826,35,9825,150,9824,200,9832,120,9833,250,9836,50
1550316,SSE-FSR,9968,50,9966,100,9964,150,9974,100,9976,150,9978,200
1550316,SSE-HT,11144,50,11142,100,11140,150,11148,35,11150,100,11152,150
1550316,SSE-KRAS,9624,50,9622,100,9620,150,9628,45,9630,100,9632,150
1550316,SSE-SIMP,9989,125,9988,200,9987,250,9992,10,9993,50,9994,100
1550316,SSE-ZABA,11671,50,11669,100,11667,150,11681,184,11683,250,11706,5
1550416,SSE-CARD,9820,60,9819,100,9818,150,9824,75,9825,200,9826,250
1550416,SSE-FSR,9981,50,9979,100,9977,150,9983,5,9985,50,9987,100
1550416,SSE-HT,11164,65,11162,150,11160,200,11170,50,11172,100,11174,150
1550416,SSE-KRAS,9619,50,9617,100,9615,150,9623,50,9625,100,9627,150
1550416,SSE-SIMP,9973,50,9972,100,9971,150,9977,50,9978,200,9979,250
1550416,SSE-ZABA,11682,90,11680,150,11678,200,11688,50,11690,100,11692,150
1550516,SSE-CARD,9831,145,9830,200,9829,250,9835,50,9836,150,9837,150
1550516,SSE-FSR,9956,50,9954,100,9952,150,9960,50,9962,100,9964,150
1550516,SSE-HT,11146,25,11144,100,11142,150,11152,38,11154,150,11156,200
1550516,SSE-KRAS,9601,20,9600,50,9598,100,9604,50,9606,100,9608,150
1550516,SSE-SIMP,9946,50,9945,100,9944,217,9949,30,9950,150,9951,200
1550516,SSE-ZABA,11674,50,11672,100,11670,150,11680,14,11682,150,11684,200
1550756,SSE-CARD,9815,50,9814,100,9813,150,9818,25,9819,150,9820,200
1550756,SSE-FSR,9960,42,9957,50,9956,20,9961,50,9963,100,9965,150
1550756,SSE-HT,11134,50,11132,100,11130,180,11140,38,11142,150,11144,200
1550756,SSE-KRAS,9617,27,9615,100,9613,150,9621,50,9623,100,9625,150
1550756,SSE-SIMP,9966,40,9965,100,9964,150,9968,50,9969,100,9970,150
1550756,SSE-ZABA,11718,85,11716,150,11714,200,11719,30,11724,50,11726,100
1550996,SSE-CARD,9691,50,9690,100,9689,150,9693,40,9694,100,9695,150
1550996,SSE-FSR,9956,10,9951,50,9949,100,9959,150,9961,200,9963,250
1550996,SSE-HT,11140,38,11139,95,11137,150,11145,50,11147,100,11149,150
1550996,SSE-KRAS,9651,25,9649,150,9647,200,9657,50,9659,105,9661,150
1550996,SSE-SIMP,9983,73,9982,150,9981,200,9986,50,9987,100,9988,150
1550996,SSE-ZABA,11708,50,11706,100,11704,150,11714,40,11716,150,11718,200
1551235,SSE-CARD,9707,25,9706,100,9705,150,9710,48,9711,150,9712,200
1551235,SSE-FSR,9964,50,9962,150,9960,200,9970,50,9972,100,9974,150
1551235,SSE-HT,11175,50,11173,100,11171,150,11179,50,11181,100,11183,150
1551235,SSE-KRAS,9617,5,9616,50,9614,100,9620,50,9622,100,9624,150
1551235,SSE-SIMP,9978,45,9977,100,9976,150,9983,12,9984,250,9989,27
1551235,SSE-ZABA,11714,75,11711,50,11710,5,11715,50,11717,100,11719,150
1551472,SSE-CARD,9728,30,9727,100,9726,150,9730,50,9731,100,9732,150
1551472,SSE-FSR,9965,20,9961,95,9937,15,9969,20,9973,50,9975,100
1551472,SSE-HT,11202,50,11200,100,11198,150,11206,50,11208,100,11210,150
1551472,SSE-KRAS,9613,50,9611,100,9609,150,9617,55,9619,100,9621,150
1551472,SSE-SIMP,9961,50,9960,100,9959,150,9963,25,9964,100,9965,150
1551472,SSE-ZABA,11730,85,11728,150,11726,200,11736,50,11738,100,11740,150
1551708,SSE-CARD,9723,50,9722,100,9721,150,9725,25,9726,100,9727,150
1551708,SSE-FSR,9962,50,9960,100,9958,150,9970,99,9972,200,9974,250
1551708,SSE-HT,11179,1,11178,50,11176,100,11182,50,11184,100,11186,150
1551708,SSE-KRAS,9632,25,9630,100,9628,150,9636,50,9638,100,9640,150
1551708,SSE-SIMP,9993,88,9992,150,9991,200,9996,50,9997,100,9998,150
1551708,SSE-ZABA,11704,50,11702,100,11700,150,11708,45,11710,100,11712,150
1551937,SSE-CARD,9677,50,9676,100,9675,150,9679,18,9680,100,9681,150
1551937,SSE-FSR,9963,45,9961,100,9959,150,9973,1,9975,250,9981,50
1551937,SSE-HT,11206,45,11204,100,11202,150,11210,50,11212,100,11214,150
1551937,SSE-KRAS,9615,50,9613,100,9611,150,9619,50,9621,100,9623,150
1551937,SSE-SIMP,9963,56,9962,50,9961,100,9964,36,9965,100,9966,150
1551937,SSE-ZABA,11730,95,11728,250,11708,5,11740,50,11742,100,11744,150
1552170,SSE-CARD,9661,50,9660,110,9659,150,9663,2,9664,100,9665,150
1552170,SSE-FSR,9943,50,9941,100,9939,150,9947,28,9949,100,9951,150
1552170,SSE-HT,11194,49,11192,100,11190,150,11198,50,11200,100,11202,150
1552170,SSE-KRAS,9603,50,9601,100,9599,150,9607,40,9609,100,9611,150
1552170,SSE-SIMP,9961,50,9960,100,9959,150,9963,4,9964,100,9965,150
1552170,SSE-ZABA,11710,50,11708,105,11706,150,11714,50,11716,100,11718,150
1552404,SSE-CARD,9634,32,9630,27,9584,50,9678,100,9679,150,9680,220
1552404,SSE-FSR,9937,15,9876,27,9868,20,9960,50,9962,100,9964,150
1552404,SSE-HT,11183,50,11181,100,11179,151,11187,50,11189,105,11191,150
1552404,SSE-KRAS,9635,40,9633,100,9631,150,9639,50,9641,100,9643,150
1552404,SSE-SIMP,9958,50,9957,100,9956,150,9961,100,9962,150,9963,200
1552404,SSE-ZABA,11689,50,11687,100,11685,150,11693,50,11695,100,11697,150
1552637,SSE-CARD,9671,5,9670,100,9669,150,9680,20,9726,10,9790,102
1552637,SSE-FSR,9937,15,9936,50,9934,100,9946,172,9948,250,9965,5
1552637,SSE-HT,11167,50,11165,100,11163,150,11171,25,11173,100,11175,150
1552637,SSE-KRAS,9626,50,9624,100,9622,150,9630,50,9632,100,9634,150
1552637,SSE-SIMP,9946,50,9945,100,9944,150,9951,59,9952,255,9963,10
1552637,SSE-ZABA,11679,50,11677,100,11675,150,11683,45,11685,100,11687,150
1552874,SSE-CARD,9443,10,9439,50,9438,100,9444,50,9445,250,9671,255
1552874,SSE-FSR,9876,27,9868,20,9858,13,9936,5,9940,20,9994,50
1552874,SSE-HT,11168,50,11166,100,11164,150,11172,50,11174,100,11176,150
1552874,SSE-KRAS,9625,50,9623,100,9621,150,9626,8,9629,50,9631,100
1552874,SSE-SIMP,9928,10,9923,14,9919,10,9954,50,9955,100,9956,150
1552874,SSE-ZABA,11653,50,11651,100,11649,150,11657,50,11659,100,11661,150
1553111,SSE-CARD,9444,5,9430,50,9429,100,9671,255,9675,20,9680,30
1553111,SSE-FSR,9997,50,9995,100,9993,150,10001,50,10003,100,10005,150
1553111,SSE-HT,11183,50,11181,100,11179,150,11187,50,11189,100,11191,150
1553111,SSE-KRAS,9608,5,9605,50,9603,100,9613,74,9615,200,9617,250
1553111,SSE-SIMP,9964,30,9963,100,9962,150,9966,50,9967,100,9968,150
1553111,SSE-ZABA,11687,20,11685,200,11683,250,11695,55,11697,100,11699,150
1553265,SSE-CARD,9441,39,9440,100,9439,150,9445,94,9446,200,9447,250
1553265,SSE-FSR,9986,50,9984,150,9982,200,9998,114,10000,250,10006,50
1553265,SSE-HT,11178,50,11176,100,11174,150,11186,75,11188,200,11190,250
1553265,SSE-KRAS,9615,147,9614,5,9613,200,9623,50,9625,100,9627,150
1553265,SSE-SIMP,9919,60,9918,100,9917,150,9925,141,9971,10,9981,10
1553265,SSE-ZABA,11705,40,11703,100,11701,150,11709,50,11710,120,11711,100
1553420,SSE-CARD,9430,50,9429,100,9428,150,9433,99,9434,150,9435,200
1553420,SSE-FSR,9992,91,9990,150,9988,200,9993,20,9997,50,9998,50
1553420,SSE-HT,11164,50,11162,100,11160,150,11168,38,11170,100,11172,150
1553420,SSE-KRAS,9591,50,9589,100,9587,150,9595,50,9597,100,9599,150
1553420,SSE-SIMP,9934,25,9933,100,9932,150,9936,50,9937,100,9938,150
1553420,SSE-ZABA,11673,50,11671,100,11669,150,11679,60,11681,150,11683,200
1553516,SSE-CARD,9425,144,9424,200,9423,250,9431,145,9432,200,9433,250
1553516,SSE-FSR,10005,44,10003,150,10001,200,10006,50,10011,50,10013,100
1553516,SSE-HT,11197,50,11195,100,11193,150,11201,50,11203,100,11205,150
1553516,SSE-KRAS,9592,40,9590,100,9588,150,9596,50,9598,100,9600,150
1553516,SSE-SIMP,9945,50,9944,100,9943,150,9947,50,9948,100,9949,150
1553516,SSE-ZABA,11675,78,11673,150,11671,200,11681,50,11683,100,11685,150
1553616,SSE-CARD,9432,82,9431,150,9430,200,9435,50,9436,100,9437,150
1553616,SSE-FSR,9992,50,9990,100,9988,150,9996,40,9998,100,10000,150
1553616,SSE-HT,11191,50,11189,100,11187,150,11195,25,11197,100,11199,150
1553616,SSE-KRAS,9596,40,9594,100,9592,150,9600,50,9602,100,9604,150
1553616,SSE-SIMP,9946,50,9945,100,9944,150,9950,150,9951,200,9952,250
1553616,SSE-ZABA,11672,130,11670,200,11668,250,11680,12,11682,100,11684,150
1553716,SSE-CARD,9429,45,9428,100,9427,150,9432,205,9433,150,9434,200
1553716,SSE-FSR,9989,50,9987,100,9985,170,9993,50,9995,100,9997,150
1553716,SSE-HT,11199,4,11197,100,11195,150,11203,50,11205,100,11207,150
1553716,SSE-KRAS,9571,50,9569,100,9567,150,9575,50,9577,100,9579,150
1553716,SSE-SIMP,9951,50,9950,100,9949,150,9953,50,9954,100,9955,150
1553716,SSE-ZABA,11710,25,11708,150,11706,200,11716,50,11718,100,11720,150
1553816,SSE-CARD,9235,50,9234,100,9233,150,9239,5,9240,200,9241,250
1553816,SSE-FSR,9993,50,9991,100,9989,150,9999,99,10001,150,10003,200
1553816,SSE-HT,11186,50,11184,100,11182,150,11190,50,11192,100,11194,150
1553816,SSE-KRAS,9564,50,9562,100,9560,150,9568,40,9570,100,9572,150
1553816,SSE-SIMP,9950,10,9949,50,9948,100,9951,40,9952,110,9953,150
1553816,SSE-ZABA,11681,50,11679,100,11677,155,11685,50,11687,100,11689,150
1553916,SSE-CARD,9260,35,9259,100,9258,150,9262,50,9263,100,9264,150
1553916,SSE-FSR,10000,45,9999,50,9998,100,10004,50,10005,84,10006,150
1553916,SSE-HT,11231,100,11229,150,11227,200,11237,50,11239,100,11241,150
1553916,SSE-KRAS,9572,45,9570,100,9568,150,9576,50,9578,100,9580,150
1553916,SSE-SIMP,9934,50,9933,100,9932,150,9937,100,9938,150,9939,200
1553916,SSE-ZABA,11673,12,11671,50,11669,100,11675,45,11677,100,11679,150
1554016,SSE-CARD,9257,50,9256,100,9255,150,9259,14,9260,100,9261,150
1554016,SSE-FSR,9995,50,9993,120,9991,150,9999,50,10001,100,10003,150
1554016,SSE-HT,11212,50,11210,100,11208,150,11216,50,11218,100,11220,150
1554016,SSE-KRAS,9567,50,9565,100,9563,150,9571,50,9573,100,9575,150
1554016,SSE-SIMP,9957,50,9956,100,9955,150,9959,50,9960,100,9961,150
1554016,SSE-ZABA,11691,1,11689,100,11687,150,11695,50,11697,100,11699,150
1554116,SSE-CARD,9270,50,9269,100,9268,150,9272,50,9273,100,9274,150
1554116,SSE-FSR,10005,66,10003,150,10001,200,10006,50,10011,50,10013,100
